signal_date,ticker,rank,mom12_1,latest_price,sma_200,annualized_vol_63d,high_vol_threshold,above_sma,high_volatility,strategy_signal,conservative_entry_signal,strategy_equal_weight,conservative_equal_weight,reason
2026-06-23,CAT,1,1.2805937225980983,984.239990234375,674.5009167480468,0.4464228699960411,0.3602781749008581,True,True,True,False,0.1,0.0,strategy_signal_but_high_volatility
2026-06-23,GOOGL,2,1.1630671672214477,346.1300048828125,311.90209045410154,0.3778036070919573,0.3602781749008581,True,True,True,False,0.1,0.0,strategy_signal_but_high_volatility
2026-06-23,GOOG,3,1.1268269732510179,346.0799865722656,311.4145477294922,0.37040841977685546,0.3602781749008581,True,True,True,False,0.1,0.0,strategy_signal_but_high_volatility
2026-06-23,NEM,4,0.9048670005815973,97.83999633789062,102.3248490524292,0.5220880757669684,0.3602781749008581,False,True,True,False,0.1,0.0,strategy_signal_but_below_sma
2026-06-23,VLO,5,0.8679064018992322,243.67999267578125,200.14683662414552,0.4043613829891917,0.3602781749008581,True,True,True,False,0.1,0.0,strategy_signal_but_high_volatility
2026-06-23,CSCO,6,0.7756089713662806,121.1500015258789,82.69084274291993,0.421135175194171,0.3602781749008581,True,True,True,False,0.1,0.0,strategy_signal_but_high_volatility
2026-06-23,DD,7,0.7318708599256678,140.00999450683594,126.50584426879882,0.35959179808299585,0.3602781749008581,True,False,True,True,0.1,0.3333333333333333,conservative_entry_signal
2026-06-23,SLB,8,0.649341897861268,47.790000915527344,44.58321418762207,0.33628091140153654,0.3602781749008581,True,False,True,True,0.1,0.3333333333333333,conservative_entry_signal
2026-06-23,AVGO,9,0.6300831132807942,380.1499938964844,359.4307522583008,0.550129092883531,0.3602781749008581,True,True,True,False,0.1,0.0,strategy_signal_but_high_volatility
2026-06-23,MRK,10,0.5388208549340074,119.5999984741211,104.23109142303467,0.28709318907446674,0.3602781749008581,True,False,True,True,0.1,0.3333333333333333,conservative_entry_signal
2026-06-23,FCX,11,0.5334277904355595,64.4000015258789,54.37767486572265,0.5778738180974609,0.3602781749008581,True,True,False,False,0.0,0.0,outside_top_10
2026-06-23,AAPL,12,0.5270166130698164,294.29998779296875,268.3650478363037,0.2305319818638144,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MPC,13,0.5269319116901381,248.52000427246094,206.52380470275878,0.38074964829195274,0.3602781749008581,True,True,False,False,0.0,0.0,outside_top_10
2026-06-23,PSX,14,0.5248044745874012,170.33999633789062,150.0741376876831,0.33972890240692116,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MS,15,0.512284388483087,226.02999877929688,174.92521308898927,0.2723577337425018,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,JNJ,16,0.5120138594873649,239.0800018310547,214.23865295410155,0.19934289215760842,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,GS,17,0.47172667996427897,1094.43994140625,872.9134924316406,0.31739926529750434,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,LLY,18,0.4275482772696997,1107.0799560546875,967.1331649780274,0.3601586078091891,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,PLD,19,0.3988832853511788,145.25,129.41536598205568,0.21764206608186967,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,XOM,20,0.3904482695236038,139.72999572753906,133.32501365661622,0.31819039335980176,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,EQIX,21,0.3731896064985476,1115.9300537109375,889.9106231689453,0.18290179615914032,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,TSLA,22,0.37187560133779307,381.6099853515625,417.5339501953125,0.45301597419507506,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,OXY,23,0.36956332344783505,52.22999954223633,48.79866355895996,0.39243275318160803,0.3602781749008581,True,True,False,False,0.0,0.0,outside_top_10
2026-06-23,NVDA,24,0.33663566745214,200.0399932861328,190.01871856689453,0.4145372914975426,0.3602781749008581,True,True,False,False,0.0,0.0,outside_top_10
2026-06-23,CVX,25,0.3276202479730188,175.97999572753906,169.32498497009277,0.2713773604961247,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,COP,26,0.3122119630487057,109.97000122070312,104.00484264373779,0.3351380567141394,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,NEE,27,0.28030137430273605,86.43000030517578,84.88856140136718,0.2663848760353978,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,TJX,28,0.2684571392907622,164.35000610351562,151.85468910217284,0.23359290311703168,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,EA,29,0.26809207323629836,203.52000427246094,199.28023712158202,0.03989839632112081,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,GE,30,0.26451539080425523,356.4700012207031,305.7575631713867,0.4139093248983751,0.3602781749008581,True,True,False,False,0.0,0.0,outside_top_10
2026-06-23,AEP,31,0.25945823138364954,133.74000549316406,121.68346057891846,0.2056824380553958,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,RTX,32,0.2499883751125067,186.38999938964844,181.50220489501953,0.28547832327940387,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MO,33,0.24859061976879926,71.61000061035156,62.57647914886475,0.27220906158912295,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,UNH,34,0.24459958493345813,409.25,330.332734375,0.32636706623892414,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,AMGN,35,0.24248128892768817,347.010009765625,328.5765112304687,0.2472383320878779,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,D,36,0.23666664247070046,68.44999694824219,60.78532754898071,0.26977388274879255,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,AMZN,37,0.2336023310149442,234.11000061035156,232.82980010986327,0.3235509878665644,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,TMO,38,0.21790195132095813,469.3500061035156,524.5942626953125,0.3584785426447461,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,ABBV,39,0.21114602517666392,234.75999450683594,218.32873764038087,0.2706902600309146,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,SRE,40,0.20177889801441462,92.29000091552734,90.42872703552246,0.1963927321270099,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,WMT,41,0.19367723961257144,119.41999816894531,116.22908626556396,0.26912488485426606,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,VZ,42,0.17937967012275124,46.72999954223633,43.58816232681274,0.22631299146528835,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,LMT,43,0.16857529890852363,503.6700134277344,532.9492576599121,0.27460724857905894,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,PFE,44,0.15550711756205216,24.719999313354492,25.235297031402588,0.18927452554985283,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,EOG,45,0.1548664177480612,134.89999389648438,119.54785282135009,0.31293401016576133,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,KO,46,0.14100981076956876,80.30999755859375,72.88803344726563,0.19506225518207498,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,NOC,47,0.14006340184663224,513.219970703125,610.9074192810059,0.2759489402717637,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,UPS,48,0.1296529380559326,105.83000183105469,97.21493927001953,0.35340199225001734,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,PEP,49,0.12343357545394151,142.0500030517578,147.43658950805664,0.20404141018798852,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,EL,50,0.11700867481773525,83.76000213623047,92.48443801879883,0.5073722990859798,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,SBUX,51,0.11073641505551168,101.05000305175781,91.11992107391357,0.2990159344606615,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,BAC,52,0.1084425476421389,57.90999984741211,51.78227024078369,0.21407937560141693,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,HON,53,0.10734787918533994,222.3699951171875,211.73296821594238,0.30810541291762034,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,BA,54,0.10318329233591217,216.7100067138672,218.5083506011963,0.3780695037964199,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,KMI,55,0.10097407416941673,32.540000915527344,29.410065965652464,0.21111153266443392,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,VMC,56,0.09261969970505102,299.0899963378906,290.56316207885743,0.29642273260845436,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,EXC,57,0.07890839024262375,46.619998931884766,45.16189622879028,0.1931877913565882,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,DE,58,0.07682027173262784,591.9400024414062,526.7443212890626,0.3359164070551995,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,DUK,59,0.07642949481082506,125.05000305175781,122.33326480865479,0.16546300400460268,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,LIN,60,0.07165576964048781,512.260009765625,465.07767929077147,0.19199659990243312,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MLM,61,0.06367906997072192,604.1799926757812,616.4181478881836,0.3000396627231567,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,JPM,62,0.052502521048623185,334.1400146484375,305.5416130065918,0.23923793660340326,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,ORCL,63,0.04306457748065462,165.16000366210938,203.53288200378418,0.6758373373374913,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,IBM,64,0.03608372369274493,264.94000244140625,270.6286255645752,0.5462166203897064,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,SO,65,0.03515724806154319,94.93000030517578,91.28526176452637,0.18280137999682813,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,PPG,66,0.019693207514949185,117.69999694824219,106.81164138793946,0.36063687617586504,0.3602781749008581,True,True,False,False,0.0,0.0,outside_top_10
2026-06-23,CL,67,0.016590006256921308,91.43000030517578,83.76045650482178,0.24473032556428784,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,APD,68,0.014304981857692356,282.45001220703125,271.747332611084,0.18291397978204643,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,BLK,69,0.01293910986858493,1015.3300170898438,1057.8412017822266,0.2719208765330514,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,AXP,70,0.0025307642341469982,337.7799987792969,336.3324104309082,0.24046280943750528,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,PM,71,0.0008935460968360065,178.69000244140625,164.89350280761718,0.33803853556563185,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,WFC,72,-0.010965930450236083,84.12999725341797,83.49823726654053,0.2792249818287737,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,LOW,73,-0.014844758230076471,213.5399932861328,243.39321418762208,0.3038546404254117,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MCD,74,-0.027798981773146658,271.6600036621094,301.33861587524416,0.1880829130239409,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,COST,75,-0.028523681349927887,957.6799926757812,955.9389712524414,0.20950165903837306,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,SCHW,76,-0.030490529085439144,93.16999816894531,94.15995765686036,0.2965759101297889,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,ORLY,77,-0.03605902695039476,87.54000091552734,95.4095997619629,0.28511028278621725,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,ECL,78,-0.04236372858504567,268.6600036621094,268.72915756225586,0.24735196170923757,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MDLZ,79,-0.06926535374114129,61.060001373291016,58.290930557250974,0.2113278747720636,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,PG,80,-0.0729993863577515,150.86000061035156,147.30142974853516,0.22256947257453796,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,V,81,-0.07354504880923685,328.4800109863281,327.7376496887207,0.24946666598831957,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MSFT,82,-0.08760119760249441,373.94000244140625,448.22708709716795,0.3314982514165809,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,T,83,-0.10565406148043577,22.809999465942383,25.629860076904297,0.25734661895356375,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,SHW,84,-0.10683356186780169,322.8999938964844,332.8874768066406,0.3095559426213198,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,MA,85,-0.11574567499358934,488.07000732421875,532.5808166503906,0.23492795623443263,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,HD,86,-0.11862281420798881,324.45001220703125,352.97872787475586,0.28054642205469066,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,AMT,87,-0.1297342126465183,179.3800048828125,178.30592849731445,0.2763657269034164,0.3602781749008581,True,False,False,False,0.0,0.0,outside_top_10
2026-06-23,META,88,-0.14103242389696546,562.2000122070312,651.9256674194336,0.4398899758752129,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,DIS,89,-0.1733007932360996,103.52999877929688,106.71805870056153,0.268294061833345,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,TMUS,90,-0.19808712256159744,184.57000732421875,204.41334243774415,0.2863014761687475,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,ISRG,91,-0.21856418609473038,403.17999267578125,490.2417008972168,0.3401654359705651,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,CMCSA,92,-0.22388792357163467,22.799999237060547,27.416647424697874,0.38443519693135797,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,ADP,93,-0.2662514073355362,220.5,238.40959197998046,0.3205658191510424,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,BKNG,94,-0.27269178232751345,168.94000244140625,189.29894195556642,0.3641726230324287,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,CRM,95,-0.29509214591662425,153.4199981689453,214.26994819641112,0.5005208633351679,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,ADBE,96,-0.3299989966305086,197.42999267578125,293.79650009155273,0.463005136688243,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,NKE,97,-0.337312037904965,42.380001068115234,57.561944580078126,0.43969711912222953,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
2026-06-23,NFLX,98,-0.3576426467179923,72.81999969482422,97.83174991607666,0.3351894124696317,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,ABT,99,-0.3577776599900081,90.52999877929688,112.25669105529785,0.2771867632130471,0.3602781749008581,False,False,False,False,0.0,0.0,outside_top_10
2026-06-23,ACN,100,-0.365653076472524,127.01000213623047,223.32471405029298,0.5517777208179335,0.3602781749008581,False,True,False,False,0.0,0.0,outside_top_10
